"2019-12-18 11:36:24 [restartedMain] INFO  c.e.javalab.Javalab3Sem2Application- Starting Javalab3Sem2Application on user-VAIO with PID 7564 (started by user in E:\Program Files\JavaLab\javalab5Sem2)
 ""2019-12-18 11:36:29 [restartedMain] INFO  o.a.catalina.core.StandardEngine- Starting Servlet engine: [Apache Tomcat/9.0.27]
 ""2019-12-18 11:36:29 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
 ""2019-12-18 11:36:29 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource- HikariPool-1 - Starting...
 ""2019-12-18 11:36:29 [restartedMain] WARN  c.z.hikari.util.DriverDataSource- Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
 ""2019-12-18 11:36:31 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource- HikariPool-1 - Start completed.
 ""2019-12-18 11:36:31 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration- H2 console available at '/h2-console'. Database available at 'jdbc:oracle:thin:@//localhost:1521/KVO_PDB'
 ""2019-12-18 11:36:31 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper- HHH000204: Processing PersistenceUnitInfo [name: default]
 ""2019-12-18 11:36:31 [restartedMain] INFO  org.hibernate.Version- HHH000412: Hibernate Core {5.4.6.Final}
 ""2019-12-18 11:36:32 [restartedMain] INFO  o.h.annotations.common.Version- HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
 ""2019-12-18 11:36:32 [restartedMain] INFO  org.hibernate.dialect.Dialect- HHH000400: Using dialect: org.hibernate.dialect.Oracle12cDialect
 ""2019-12-18 11:36:34 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator- HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
 ""2019-12-18 11:36:34 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean- Initialized JPA EntityManagerFactory for persistence unit 'default'
 ""2019-12-18 11:36:36 [restartedMain] WARN  o.t.templatemode.TemplateMode- [THYMELEAF][restartedMain] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
 ""2019-12-18 11:36:36 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
 ""2019-12-18 11:36:36 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
 ""2019-12-18 11:36:37 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer- LiveReload server is running on port 35729
 ""2019-12-18 11:36:38 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer- Tomcat started on port(s): 8080 (http) with context path ''
 ""2019-12-18 11:36:38 [restartedMain] INFO  c.e.javalab.Javalab3Sem2Application- Started Javalab3Sem2Application in 15.231 seconds (JVM running for 19.586)
 ""2019-12-18 11:38:11 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]- Initializing Spring DispatcherServlet 'dispatcherServlet'
 "
